TIME,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,roll,pitch,yaw
2023-02-15-12-06-02.371866137,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024943647906184196,-0.016190877184271812,0.6619017720222473,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.029159877449274063,-0.016521504148840904,0.08692973852157593
2023-02-15-12-06-02.405619538,,,,,,,,,,,,,,,,,,,,,,,,-0.029158279299736023,-0.016515685245394707,0.08692958205938339
2023-02-15-12-06-02.405708455,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024927888065576553,-0.016184229403734207,0.6618969440460205,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.438615825,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024928659200668335,-0.016192413866519928,0.6618855595588684,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.02914845570921898,-0.016528921201825142,0.08692210167646408
2023-02-15-12-06-02.471587900,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024934357032179832,-0.016195306554436684,0.6618871092796326,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.02915973588824272,-0.01653163507580757,0.08691713213920593
2023-02-15-12-06-02.504618739,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024925485253334045,-0.016187747940421104,0.6618819236755371,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.029147449880838394,-0.0165192112326622,0.08692017942667007
2023-02-15-12-06-02.537527602,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024921562522649765,-0.016191896051168442,0.6618712544441223,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.029133912175893784,-0.016528120264410973,0.08690571784973145
2023-02-15-12-06-02.570528829,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.02491520158946514,-0.016203558072447777,0.6618711352348328,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.029144173488020897,-0.01654215343296528,0.08690977841615677
2023-02-15-12-06-02.603465964,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024920960888266563,-0.016205428168177605,0.6618716716766357,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.02914239466190338,-0.01653158664703369,0.08691093325614929
2023-02-15-12-06-02.636453910,,,,,,,,,,,,,,,,,,,,,,,,-0.02914247289299965,-0.01653924025595188,0.08691396564245224
2023-02-15-12-06-02.636533719,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024904420599341393,-0.016204722225666046,0.6618753671646118,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.669428334,,,,,,55.682395935058594,55.682395935058594,55.682395935058594,,,,5.6099934577941895,5.610679626464844,1.8059983253479004,-0.024884281679987907,-0.01620236597955227,0.661867618560791,0.000942208047490567,0.0009411827195435762,0.17000000178813934,2.0,1.0,1025.0,-0.029121199622750282,-0.016524268314242363,0.08691083639860153
2023-02-15-12-06-02.702396986,,,,,,,,,,,,,,,,,,,,,,,,-0.029122930020093918,-0.016524193808436394,0.08689996600151062
2023-02-15-12-06-02.702522576,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.024894624948501587,-0.016190923750400543,0.6618531942367554,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.735381032,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.02489899843931198,-0.016190746799111366,0.6618550419807434,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,-0.02912292256951332,-0.016515124589204788,0.08690089732408524
2023-02-15-12-06-02.768323175,,,,,,,,,,,,,,,,,,,,,,,,-0.02910868637263775,-0.016510508954524994,0.08689406514167786
2023-02-15-12-06-02.768414104,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.024889398366212845,-0.016188038513064384,0.6618431806564331,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.801305127,,,,,,,,,,,,,,,,,,,,,,,,-0.02910328283905983,-0.01650625467300415,0.08689424395561218
2023-02-15-12-06-02.801392634,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.024869486689567566,-0.016181273385882378,0.6618456244468689,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.834324739,,,,,,,,,,,,,,,,,,,,,,,,-0.029089320451021194,-0.016516709700226784,0.08688213676214218
2023-02-15-12-06-02.834404276,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.024857185781002045,-0.016182025894522667,0.661830484867096,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.867289938,,,,,,,,,,,,,,,,,,,,,,,,-0.02908618375658989,-0.016508448868989944,0.08688245713710785
2023-02-15-12-06-02.867360507,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.02484883740544319,-0.01618494838476181,0.6618322730064392,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.900328156,,,,,,,,,,,,,,,,,,,,,,,,-0.02908260188996792,-0.01650584675371647,0.08687785267829895
2023-02-15-12-06-02.900406297,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.02484891749918461,-0.016179988160729408,0.6618279814720154,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.933246183,,,,,,,,,,,,,,,,,,,,,,,,-0.029091820120811462,-0.016517121344804764,0.0868828073143959
2023-02-15-12-06-02.933326270,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.024853775277733803,-0.01618061400949955,0.6618314385414124,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-02.966241329,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.02487844042479992,-0.016188642010092735,0.6618275046348572,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,-0.02909773774445057,-0.016517888754606247,0.0868910700082779
2023-02-15-12-06-02.999255020,,,,,,,,,,,,,,,,,,,,,,,,-0.02910264953970909,-0.01650347001850605,0.0868973508477211
2023-02-15-12-06-02.999335874,,,,,,55.68180847167969,55.68180847167969,55.68180847167969,,,,5.610225677490234,5.610911846160889,1.8059734106063843,-0.02487330511212349,-0.01617564633488655,0.6618370413780212,0.0009422737057320774,0.0009411582141183317,0.17000000178813934,2.0,1.0,1025.0,,,
