TIME,roll,pitch,yaw
2023-02-15-12-27-08.163358643,-0.03133828565478325,-0.013198566623032093,-0.021806059405207634
2023-02-15-12-27-08.208097071,-0.0313311368227005,-0.013185436837375164,-0.021801725029945374
2023-02-15-12-27-08.208298172,-0.03133033588528633,-0.01318344846367836,-0.021807098761200905
2023-02-15-12-27-08.257722164,-0.03132184222340584,-0.013180448673665524,-0.02180519513785839
2023-02-15-12-27-08.257952695,-0.03131275624036789,-0.013176937587559223,-0.021806692704558372
2023-02-15-12-27-08.307209769,-0.03132421523332596,-0.013188166543841362,-0.02180342935025692
2023-02-15-12-27-08.307480156,-0.03132098540663719,-0.013193147256970406,-0.0218039657920599
2023-02-15-12-27-08.356732008,-0.03131979703903198,-0.013191386125981808,-0.02180161327123642
2023-02-15-12-27-08.356853745,-0.031348709017038345,-0.013171210885047913,-0.021810928359627724
2023-02-15-12-27-08.406391362,-0.0313432477414608,-0.013174916617572308,-0.021812789142131805
2023-02-15-12-27-08.406527242,-0.03135586529970169,-0.013175668194890022,-0.021801315248012543
2023-02-15-12-27-08.456060081,-0.03135712817311287,-0.013166964054107666,-0.02180357091128826
2023-02-15-12-27-08.456330494,-0.031352777034044266,-0.013169375248253345,-0.021803801879286766
2023-02-15-12-27-08.505737354,-0.03135959431529045,-0.013165348209440708,-0.021815946325659752
2023-02-15-12-27-08.505988084,-0.031354714184999466,-0.013165597803890705,-0.021820303052663803
2023-02-15-12-27-08.555134341,-0.03134715557098389,-0.013159774243831635,-0.02180800959467888
2023-02-15-12-27-08.555345375,-0.03134547919034958,-0.013161111623048782,-0.02180257812142372
2023-02-15-12-27-08.604787165,-0.031335730105638504,-0.013159285299479961,-0.02180222049355507
2023-02-15-12-27-08.604907834,-0.031335100531578064,-0.013158994726836681,-0.02180652879178524
2023-02-15-12-27-08.654436316,-0.03132832050323486,-0.013165049254894257,-0.02179708704352379
2023-02-15-12-27-08.654658964,-0.03134641796350479,-0.013173189014196396,-0.021806202828884125
2023-02-15-12-27-08.704084606,-0.03133127838373184,-0.013162517920136452,-0.02181798405945301
2023-02-15-12-27-08.704312079,-0.031339131295681,-0.01315627433359623,-0.021817505359649658
2023-02-15-12-27-08.753682479,-0.03133637458086014,-0.013156646862626076,-0.02181844972074032
2023-02-15-12-27-08.753801060,-0.03133833780884743,-0.013146690092980862,-0.021822040900588036
2023-02-15-12-27-08.803063521,-0.03133443742990494,-0.0131430858746171,-0.021821923553943634
2023-02-15-12-27-08.803188126,-0.03133339062333107,-0.013127552345395088,-0.021815994754433632
2023-02-15-12-27-08.852785317,-0.03132564574480057,-0.013135604560375214,-0.021819835528731346
2023-02-15-12-27-08.852920215,-0.031320441514253616,-0.013137171044945717,-0.02181115373969078
2023-02-15-12-27-08.902385718,-0.03131980076432228,-0.013140060938894749,-0.021811598911881447
2023-02-15-12-27-08.902514204,-0.03132934495806694,-0.013133220374584198,-0.021810520440340042
2023-02-15-12-27-08.952080678,-0.031340450048446655,-0.01312550250440836,-0.021810362115502357
2023-02-15-12-27-08.952294842,-0.03134609013795853,-0.01313727255910635,-0.02180742658674717
2023-02-15-12-27-09.001725370,-0.031349390745162964,-0.013132183812558651,-0.02180684357881546
2023-02-15-12-27-09.001930068,-0.0313553623855114,-0.01313104573637247,-0.021803468465805054
2023-02-15-12-27-09.051153353,-0.03136963024735451,-0.01314510591328144,-0.021798258647322655
2023-02-15-12-27-09.051386591,-0.03136825188994408,-0.013138332404196262,-0.02179560251533985
2023-02-15-12-27-09.100818442,-0.03137090802192688,-0.013142397627234459,-0.02179829776287079
2023-02-15-12-27-09.101041428,-0.031377822160720825,-0.013147496618330479,-0.02179645374417305
2023-02-15-12-27-09.150396373,-0.031368501484394073,-0.013137184083461761,-0.021792151033878326
2023-02-15-12-27-09.150616771,-0.03138173744082451,-0.01313035935163498,-0.021802056580781937
2023-02-15-12-27-09.200070259,-0.03138360381126404,-0.01313245203346014,-0.02179769054055214
2023-02-15-12-27-09.200281859,-0.031382326036691666,-0.013133394531905651,-0.0217987522482872
2023-02-15-12-27-09.249740666,-0.03138442710042,-0.01312152948230505,-0.021793808788061142
2023-02-15-12-27-09.249940349,-0.03138219565153122,-0.0131129315122962,-0.021798910573124886
2023-02-15-12-27-09.299071365,-0.03138395771384239,-0.013116288930177689,-0.021796828135848045
2023-02-15-12-27-09.299181107,-0.03138483688235283,-0.01312839612364769,-0.021802684292197227
2023-02-15-12-27-09.348826306,-0.03138922154903412,-0.013126595877110958,-0.02180546522140503
2023-02-15-12-27-09.349047338,-0.031396184116601944,-0.013122196309268475,-0.021814612671732903
2023-02-15-12-27-09.398365496,-0.03139388933777809,-0.013124768622219563,-0.021815579384565353
2023-02-15-12-27-09.398482591,-0.03139949217438698,-0.013108921237289906,-0.021818263456225395
2023-02-15-12-27-09.448020922,-0.0313868522644043,-0.013102211058139801,-0.021817931905388832
2023-02-15-12-27-09.448149319,-0.03138003125786781,-0.013087592087686062,-0.021810011938214302
2023-02-15-12-27-09.497676333,-0.03137677162885666,-0.013085521757602692,-0.021809933707118034
2023-02-15-12-27-09.497805990,-0.031371016055345535,-0.013079319149255753,-0.021801505237817764
2023-02-15-12-27-09.547116411,-0.03135107085108757,-0.013061920180916786,-0.021805111318826675
2023-02-15-12-27-09.596833760,-0.031350795179605484,-0.013070539571344852,-0.02180616557598114
2023-02-15-12-27-09.597057595,-0.03134489059448242,-0.013065475039184093,-0.021811073645949364
2023-02-15-12-27-09.646372472,-0.0313454307615757,-0.013069168664515018,-0.021805906668305397
2023-02-15-12-27-09.646490552,-0.031355343759059906,-0.013072806410491467,-0.021798640489578247
2023-02-15-12-27-09.696051338,-0.031354088336229324,-0.013070942834019661,-0.021793674677610397
2023-02-15-12-27-09.696171269,-0.03135984390974045,-0.013062214478850365,-0.021787308156490326
2023-02-15-12-27-09.745699994,-0.0313638299703598,-0.013060043565928936,-0.021786900237202644
2023-02-15-12-27-09.745810567,-0.0313548743724823,-0.013067676685750484,-0.021785004064440727
2023-02-15-12-27-09.795174780,-0.03135008364915848,-0.013067713938653469,-0.021791813895106316
2023-02-15-12-27-09.795402894,-0.031347863376140594,-0.013067265972495079,-0.021787060424685478
2023-02-15-12-27-09.844713378,-0.0313463993370533,-0.01306337583810091,-0.02178332768380642
2023-02-15-12-27-09.844835577,-0.031344056129455566,-0.01307248417288065,-0.021795012056827545
2023-02-15-12-27-09.894409574,-0.0313432551920414,-0.013070621527731419,-0.021792251616716385
2023-02-15-12-27-09.894624214,-0.03133198991417885,-0.013064902275800705,-0.021794069558382034
2023-02-15-12-27-09.944123725,-0.03132279962301254,-0.013063319027423859,-0.02179107815027237
2023-02-15-12-27-09.944360717,-0.031328797340393066,-0.013066313229501247,-0.021793734282255173
2023-02-15-12-27-09.993818861,-0.03132827579975128,-0.013070685788989067,-0.021793749183416367
2023-02-15-12-27-09.994026901,-0.031324420124292374,-0.013067802414298058,-0.021793721243739128
2023-02-15-12-27-10.043105098,-0.03133239597082138,-0.013073130510747433,-0.02179110236465931
2023-02-15-12-27-10.043323243,-0.03133213892579079,-0.013068192638456821,-0.021792929619550705
2023-02-15-12-27-10.092724751,-0.03133375197649002,-0.013063204474747181,-0.021792735904455185
2023-02-15-12-27-10.092861360,-0.031343720853328705,-0.013063325546681881,-0.02179739624261856
2023-02-15-12-27-10.142422262,-0.03134573623538017,-0.01307843066751957,-0.021798908710479736
2023-02-15-12-27-10.142628290,-0.031338006258010864,-0.013076682575047016,-0.021796345710754395
2023-02-15-12-27-10.192070220,-0.031336743384599686,-0.01310188602656126,-0.021801253780722618
2023-02-15-12-27-10.192285718,-0.03134039044380188,-0.013097343035042286,-0.021802982315421104
2023-02-15-12-27-10.241712074,-0.03135061636567116,-0.013082262128591537,-0.02178998291492462
2023-02-15-12-27-10.241922341,-0.031337421387434006,-0.013084382750093937,-0.021787405014038086
2023-02-15-12-27-10.291051167,-0.03133418783545494,-0.013080745935440063,-0.021789558231830597
